商品名,URL,画像URL,価格,数量,状态
未組立の赤龍頑駄無 SDガンダムBB戦士シリーズの一品 新SD戦国伝 地上最強編,https://jp.mercari.com/item/m84684985204,https://static.mercdn.net/c!/w=240/thumb/photos/m84684985204_1.jpg?1752342253,現在 ¥,"1,399",未組立
未組立品 HG 1/144 Dガンダムファースト,https://jp.mercari.com/item/m94024465862,https://static.mercdn.net/c!/w=240/thumb/photos/m94024465862_1.jpg?1751898545,¥,"5,600",未組立
未組立 ビームサーベル用エフェクトパーツのみ RG 1/144 ガンダム 2.0,https://jp.mercari.com/item/m47862597649,https://static.mercdn.net/c!/w=240/thumb/photos/m47862597649_1.jpg?1752395981,¥,799,未組立
【最終値下げ】ガンプラまとめ売り HGガンプラ5個未組立品セット,https://jp.mercari.com/item/m77574761597,https://static.mercdn.net/c!/w=240/thumb/photos/m77574761597_1.jpg?1751801092,現在 ¥,"11,800",未組立
【未組立】MG 1／100RX-178 FXA-05D スーパーガンダム,https://jp.mercari.com/item/m52081711778,https://static.mercdn.net/c!/w=240/thumb/photos/m52081711778_1.jpg?1748163393,¥,"8,500",未組立
【未組立品】MG 1/100 RX-78-2 ガンダム Ver.3.0 限定版,https://jp.mercari.com/item/m23406310388,https://static.mercdn.net/c!/w=240/thumb/photos/m23406310388_1.jpg?1750571529,¥,"6,000",未組立
HG 1/144イフリート改 ガンプラ　プレミアムバンダイ限定,https://jp.mercari.com/item/m31492132413,https://static.mercdn.net/c!/w=240/thumb/photos/m31492132413_1.jpg?1749354337,¥,"4,800",未組立
新品 hgキャリバーンパーメットスコア5水星の魔女 ガンプラ 即購入大歓迎！,https://jp.mercari.com/item/m22814833181,https://static.mercdn.net/c!/w=240/thumb/photos/m22814833181_1.jpg?1752399910,¥,"3,999",未組立
★組立塗装済★ 機動戦士ガンダムSEED 1/144 ストライクダガー バンダイ,https://jp.mercari.com/item/m83231169781,https://static.mercdn.net/c!/w=240/thumb/photos/m83231169781_1.jpg?1752115632,¥,"1,100",組立済み
組立済みHGガンプラセット,https://jp.mercari.com/item/m92511734400,https://static.mercdn.net/c!/w=240/thumb/photos/m92511734400_1.jpg?1752300457,¥,"7,000",組立済み
【HGUC】RX-77　ガンプラ　ジャンク　組立済み,https://jp.mercari.com/item/m44518562501,https://static.mercdn.net/c!/w=240/thumb/photos/m44518562501_1.jpg?1751271988,¥,"7,980",組立済み
HGCEライジングフリーダム イモータルジャスティス 組立済みセット,https://jp.mercari.com/item/m37267312083,https://static.mercdn.net/c!/w=240/thumb/photos/m37267312083_1.jpg?1752230088,¥,"3,500",組立済み
RG XXXG-00W0 ウイングガンダムゼロ EW ZGMF-X20A ストラ,https://jp.mercari.com/item/m80786177547,https://static.mercdn.net/c!/w=240/thumb/photos/m80786177547_1.jpg?1752406704,¥,"7,810",組立済み
【組立済み】MG GP01Fb,https://jp.mercari.com/item/m98136016746,https://static.mercdn.net/c!/w=240/thumb/photos/m98136016746_1.jpg?1752116215,¥,"2,500",組立済み
組立済み HG 1/144 デュエルガンダム アサルトシュラウド,https://jp.mercari.com/item/m46781311262,https://static.mercdn.net/c!/w=240/thumb/photos/m46781311262_1.jpg?1751892722,¥,"1,899",組立済み
【組立済み】 MGSD フリーダムガンダム 素組み 完成品,https://jp.mercari.com/item/m74554711039,https://static.mercdn.net/c!/w=240/thumb/photos/m74554711039_1.jpg?1752424230,¥,"6,000",組立済み
完成品 ガシャプラ シャア専用ザク 組立済 美品 ガンダム カプセルトイ,https://jp.mercari.com/item/m83447542778,https://static.mercdn.net/c!/w=240/thumb/photos/m83447542778_1.jpg?1752185245,¥,700,組立済み
【未組立】トリプルアクションベース ガンプラ,https://jp.mercari.com/item/m37932245387,https://static.mercdn.net/c!/w=240/thumb/photos/m37932245387_1.jpg?1751276966,¥,"2,900",組立済み
